Object Center X,"	Object Center Y","	X Left","	Y Top","	X Right","	Y Bottom","	Area","	Orientation","	Frame #","	Time / s","	Aspect Ratio","	Pixel Threshold","	Max Droplet Width / um","	Contact Droplet Width / um","	Volume (slices) / um3","	Volume (cap) / um3","	Volume-equivalent radius / um","	Volume-equivalent diameter / um","	Height of spherical cap / um","	Contact angle / degrees","	Surface area / um2"
59.99297,84.275848,30,58,91,106,2418,176.907852,129,2.15,1.270833,144,41.03139,35.650224,31300.25958,33737.39071,19.550286,39.100572,32.286996,122.195286,4273.146266
59.962273,84.264923,30,58,91,106,2412,177.106552,130,2.166667,1.270833,144,41.03139,34.977578,31151.10601,33135.03974,19.519182,39.038365,32.286996,123.114143,4235.83397
59.951927,84.30294,30,58,91,106,2413,176.625854,131,2.183333,1.270833,144,41.03139,35.650224,31179.55036,33737.39071,19.525122,39.050243,32.286996,122.195286,4273.146266
59.841164,84.291473,30,58,91,106,2405,176.881607,132,2.2,1.270833,144,41.03139,34.977578,30983.54727,33135.03974,19.484122,38.968244,32.286996,123.114143,4235.83397
59.935684,84.236511,30,58,91,106,2410,176.87883,133,2.216667,1.270833,144,41.03139,34.977578,31072.70477,33135.03974,19.502793,39.005586,32.286996,123.114143,4235.83397
59.777222,84.251984,30,58,91,106,2397,177.600693,134,2.233333,1.270833,144,41.03139,34.304933,30816.70561,32544.16213,19.449086,38.898172,32.286996,124.041051,4199.232384
59.753231,84.280113,30,58,91,106,2399,176.811127,135,2.25,1.270833,144,41.03139,34.977578,30812.88116,33135.03974,19.448282,38.896563,32.286996,123.114143,4235.83397
59.807995,84.275719,30,58,91,106,2401,176.845871,136,2.266667,1.270833,144,41.03139,34.304933,30891.2824,32544.16213,19.464763,38.929525,32.286996,124.041051,4199.232384
59.664848,84.290268,30,58,91,106,2384,177.39621,137,2.283333,1.270833,144,41.03139,34.304933,30505.72998,32544.16213,19.383444,38.766887,32.286996,124.041051,4199.232384
59.872803,84.352303,30,59,91,106,2390,177.138153,138,2.3,1.297872,144,41.03139,34.304933,30725.15783,31154.65159,19.429808,38.859616,31.61435,123.035629,4064.197409
59.602104,84.321686,30,59,91,106,2375,177.398666,139,2.316667,1.297872,144,41.03139,34.304933,30340.08346,31154.65159,19.348296,38.696592,31.61435,123.035629,4064.197409
59.628681,84.288475,30,59,91,106,2378,177.500275,140,2.333333,1.297872,144,41.03139,34.304933,30369.96198,31154.65159,19.354645,38.70929,31.61435,123.035629,4064.197409
59.671604,84.388489,30,59,91,106,2363,177.335983,141,2.35,1.297872,144,41.03139,34.304933,30077.15248,31154.65159,19.292242,38.584484,31.61435,123.035629,4064.197409
59.574333,84.340958,30,59,91,106,2361,178.335129,142,2.366667,1.297872,144,41.03139,34.304933,30000.66347,31154.65159,19.275874,38.551748,31.61435,123.035629,4064.197409
59.599407,84.246094,30,58,91,106,2369,178.752411,143,2.383333,1.270833,144,41.03139,33.632287,30102.48947,31964.75787,19.297658,38.595316,32.286996,124.975995,4163.341509
59.51442,84.407127,30,59,91,106,2358,177.096283,144,2.4,1.297872,144,41.03139,34.304933,30009.98557,31154.65159,19.277871,38.555741,31.61435,123.035629,4064.197409
59.427902,84.354744,30,59,90,106,2351,178.096237,145,2.416667,1.276596,144,40.358744,34.304933,29759.24503,31154.65159,19.22403,38.44806,31.61435,123.035629,4064.197409
